State,Firearm Background Checks,Gun Violence Incidents
Alabama,1085475,41
Alaska,98952,2
Arizona,665458,29
Arkansas,324741,35
California,1601054,133
Colorado,680507,26
Connecticut,219227,26
Delaware,77057,12
Florida,1912204,117
Georgia,904035,73
Hawaii,20102,2
Idaho,281284,5
Illinois,7455065,135
Indiana,1935587,48
Iowa,270614,11
Kansas,249589,14
Kentucky,3330462,37
Louisiana,430537,79
Maine,137149,3
Maryland,302563,59
Massachusetts,262583,17
Michigan,1068511,79
Minnesota,958391,24
Mississippi,366829,38
Missouri,708184,59
Montana,172695,3
Nebraska,104511,6
Nevada,219349,17
New Hampshire,174662,4
New Jersey,177901,20
New Mexico,206252,3
New York,507940,69
North Carolina,890284,70
North Dakota,85465,0
Ohio,976751,57
Oklahoma,470286,21
Oregon,516096,15
Pennsylvania,1452921,108
Rhode Island,51369,1
South Carolina,530930,52
South Dakota,115448,5
Tennessee,984760,55
Texas,2325281,145
Utah,1216773,9
Vermont,57965,1
Virginia,823513,49
Washington,781471,14
West Virginia,265705,8
Wisconsin,731618,34
Wyoming,91384,1
